Usuario,Mensagem,Localizacao
NiltonPessoaa,"Eu votei com consciência em Ciro e não me arrependo, assim como quem votou em Haddad desde o início não deve carreg… https://t.co/HZZ9Oj7XQs",Natal/RN - Brasil
pppmoraes76,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Rio de Janeiro, Brasil"
MM80leitor,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",São José do Rio Preto - SP
DiogenesDesio,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Jaguaribe, Brasil"
oAdvogad0,"Nordeste ‘atrapalhou’ Bolsonaro? Não! Foram VALENTES em não permitir avanço do Haddad e Ciro

Em quase todos os est… https://t.co/ZN1C5oery8","São Bernardo do Campo, Brasil"
BlogdoNoblat,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
ddqking,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Royal Circus
Rma05,"RT @tvcamara: #Eleições2018 Jair Bolsonaro (PSL) e Fernando Haddad (PT) decidirão em 2º turno, no próximo dia 28, quem será o próximo presi…",nan
homofobiaNAO,"Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13",nan
1psicopatar,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Ceará, Brasil"
JuniorVieira07,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Teresina, Brasil"
marceloverly,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Nova Friburgo, RJ"
